Time,X,Y,Z,Displacement [mm]
2026-04-03T15:11:02.270,       0.00,        0.00,        0.00,        NaN
2026-04-03T15:11:02.271,       0.00,        0.00,        0.00,        NaN
2026-04-03T15:11:02.332,       0.00,        0.00,        0.00,        NaN
2026-04-03T15:11:12.306,        NaN,         NaN,         NaN,        NaN
2026-04-03T15:11:12.307,       0.00,        0.00,        0.00,       0.00
2026-04-03T15:11:12.840,       0.01,       -0.02,       -0.01,       0.03
2026-04-03T15:11:13.355,       0.01,       -0.00,        0.00,       0.01
2026-04-03T15:11:13.875,       0.01,       -0.03,       -0.02,       0.04
2026-04-03T15:11:14.392,      -0.00,       -0.01,       -0.03,       0.03
2026-04-03T15:11:14.904,      -0.02,       -0.02,       -0.03,       0.03
2026-04-03T15:11:15.419,      -0.01,       -0.02,       -0.02,       0.03
2026-04-03T15:11:15.936,      -0.01,       -0.00,        0.02,       0.02
2026-04-03T15:11:16.439,      -0.01,       -0.03,       -0.02,       0.04
2026-04-03T15:11:16.951,      -0.00,       -0.01,       -0.03,       0.03
2026-04-03T15:11:17.468,      -0.00,       -0.00,       -0.05,       0.05
2026-04-03T15:11:17.984,       0.00,        0.01,        0.03,       0.04
2026-04-03T15:11:18.503,      -0.01,       -0.01,       -0.05,       0.05
2026-04-03T15:11:19.018,      -0.01,       -0.00,        0.01,       0.01
2026-04-03T15:11:19.536,       0.00,       -0.01,        0.01,       0.01
2026-04-03T15:11:20.049,      -0.02,       -0.01,       -0.00,       0.02
2026-04-03T15:11:20.564,      -0.01,        0.00,       -0.00,       0.01
2026-04-03T15:11:21.067,      -0.01,       -0.01,        0.01,       0.01
2026-04-03T15:11:21.584,       0.01,       -0.02,        0.01,       0.02
2026-04-03T15:11:22.115,       0.01,       -0.02,        0.02,       0.03
2026-04-03T15:11:22.629,      -0.01,       -0.01,       -0.00,       0.01
2026-04-03T15:11:23.194,      -0.01,       -0.02,        0.01,       0.02
2026-04-03T15:11:23.697,      -0.01,       -0.02,       -0.01,       0.03
2026-04-03T15:11:24.210,      -0.00,       -0.00,       -0.00,       0.01
2026-04-03T15:11:24.727,      -0.01,       -0.00,       -0.04,       0.04
2026-04-03T15:11:25.243,      -0.03,       -0.01,       -0.01,       0.03
2026-04-03T15:11:25.762,      -0.01,        0.00,       -0.03,       0.03
2026-04-03T15:11:26.279,      -0.01,       -0.02,       -0.02,       0.03
2026-04-03T15:11:26.792,      -0.01,       -0.01,        0.01,       0.02
2026-04-03T15:11:27.307,      -0.01,       -0.03,       -0.08,       0.08
2026-04-03T15:11:27.823,      -0.01,       -0.01,       -0.05,       0.05
2026-04-03T15:11:28.342,       0.00,       -0.01,        0.01,       0.01
2026-04-03T15:11:28.888,      -0.01,       -0.02,       -0.02,       0.03
2026-04-03T15:11:29.404,       0.01,       -0.02,       -0.04,       0.05
2026-04-03T15:11:29.922,      -0.01,       -0.00,        0.01,       0.01
2026-04-03T15:11:30.440,      -0.01,       -0.02,        0.01,       0.02
2026-04-03T15:11:30.956,      -0.01,       -0.00,       -0.01,       0.01
2026-04-03T15:11:31.470,      -0.00,        0.00,       -0.01,       0.01
2026-04-03T15:11:31.986,      -0.02,        0.00,       -0.01,       0.02
2026-04-03T15:11:32.487,      -0.02,       -0.01,        0.02,       0.03
2026-04-03T15:11:33.004,      -0.00,        0.01,        0.03,       0.03
2026-04-03T15:11:33.519,      -0.01,        0.00,       -0.04,       0.04
2026-04-03T15:11:34.032,       0.00,       -0.01,       -0.07,       0.07
2026-04-03T15:11:34.548,       0.02,       -0.02,       -0.00,       0.03
2026-04-03T15:11:35.069,      -0.00,       -0.01,       -0.10,       0.10
2026-04-03T15:11:35.584,       0.01,       -0.01,       -0.03,       0.03
2026-04-03T15:11:36.098,      -0.00,        0.02,       -0.05,       0.06
2026-04-03T15:11:36.614,      -0.01,        0.01,        0.00,       0.01
2026-04-03T15:11:37.130,       0.01,       -0.04,       -0.00,       0.04
2026-04-03T15:11:37.649,       0.00,       -0.03,        0.00,       0.03
2026-04-03T15:11:38.195,      -0.00,       -0.02,       -0.04,       0.04
2026-04-03T15:11:38.713,      -0.00,       -0.03,       -0.00,       0.03
2026-04-03T15:11:39.231,      -0.01,       -0.00,       -0.07,       0.07
2026-04-03T15:11:39.777,      -0.03,       -0.17,       -0.03,       0.18
2026-04-03T15:11:40.311,       0.01,       -0.21,       -0.07,       0.22
2026-04-03T15:11:40.826,      -0.01,       -0.42,       -0.01,       0.42
2026-04-03T15:11:41.342,      -0.02,       -0.51,       -0.03,       0.51
2026-04-03T15:11:41.862,      -0.01,       -0.66,        0.00,       0.66
2026-04-03T15:11:42.377,      -0.00,       -0.85,        0.03,       0.85
2026-04-03T15:11:42.890,       0.01,       -0.98,        0.01,       0.98
2026-04-03T15:11:43.408,      -0.00,       -1.13,       -0.00,       1.13
2026-04-03T15:11:43.922,       0.01,       -1.18,        0.03,       1.18
2026-04-03T15:11:44.425,       0.02,       -1.36,       -0.00,       1.36
2026-04-03T15:11:44.939,       0.00,       -1.50,        0.02,       1.51
2026-04-03T15:11:45.455,      -0.01,       -1.67,        0.03,       1.67
2026-04-03T15:11:45.970,      -0.02,       -1.83,        0.09,       1.83
2026-04-03T15:11:46.489,      -0.03,       -1.96,        0.14,       1.96
