Time,X,Y,Z,Displacement [mm]
2026-04-15T16:43:48.620,       0.00,        0.00,        0.00,        NaN
2026-04-15T16:43:48.620,       0.00,        0.00,        0.00,        NaN
2026-04-15T16:43:48.693,       0.00,        0.00,        0.00,        NaN
2026-04-15T16:43:58.652,        NaN,         NaN,         NaN,        NaN
2026-04-15T16:43:58.652,       0.00,        0.00,        0.00,       0.00
2026-04-15T16:43:59.168,       0.01,       -0.01,       -0.05,       0.05
2026-04-15T16:43:59.685,       0.01,       -0.01,        0.02,       0.03
2026-04-15T16:44:00.203,       0.01,       -0.02,       -0.01,       0.03
2026-04-15T16:44:00.749,      -0.00,        0.00,       -0.02,       0.02
2026-04-15T16:44:01.269,       0.01,       -0.03,       -0.03,       0.04
2026-04-15T16:44:01.785,      -0.00,        0.01,        0.01,       0.02
2026-04-15T16:44:02.348,       0.00,        0.00,        0.04,       0.04
2026-04-15T16:44:02.850,       0.01,       -0.01,        0.03,       0.04
2026-04-15T16:44:03.367,       0.01,       -0.01,        0.03,       0.03
2026-04-15T16:44:03.883,       0.01,       -0.02,       -0.01,       0.02
2026-04-15T16:44:04.397,      -0.00,       -0.03,       -0.04,       0.05
2026-04-15T16:44:04.913,       0.01,       -0.03,       -0.01,       0.03
2026-04-15T16:44:05.429,       0.01,       -0.01,        0.01,       0.02
2026-04-15T16:44:05.947,       0.00,       -0.01,        0.03,       0.03
2026-04-15T16:44:06.462,       0.00,       -0.00,        0.02,       0.02
2026-04-15T16:44:07.027,       0.01,       -0.03,        0.01,       0.03
2026-04-15T16:44:07.529,       0.00,       -0.01,       -0.00,       0.01
2026-04-15T16:44:08.044,       0.01,       -0.02,        0.01,       0.03
2026-04-15T16:44:08.558,       0.00,       -0.01,        0.03,       0.03
2026-04-15T16:44:09.075,       0.01,       -0.02,       -0.01,       0.02
2026-04-15T16:44:09.590,       0.01,       -0.03,        0.00,       0.03
2026-04-15T16:44:10.110,      -0.00,       -0.02,        0.02,       0.02
2026-04-15T16:44:10.675,       0.01,        0.00,        0.03,       0.03
2026-04-15T16:44:11.222,      -0.01,        0.01,        0.03,       0.03
2026-04-15T16:44:11.740,      -0.01,       -0.00,       -0.01,       0.01
2026-04-15T16:44:12.256,      -0.00,       -0.00,        0.01,       0.01
2026-04-15T16:44:12.772,       0.00,       -0.15,       -0.02,       0.15
2026-04-15T16:44:13.286,       0.00,       -0.27,        0.01,       0.27
2026-04-15T16:44:13.788,       0.00,       -0.44,        0.02,       0.44
2026-04-15T16:44:14.302,      -0.00,       -0.62,        0.10,       0.62
2026-04-15T16:44:14.819,       0.00,       -0.76,        0.10,       0.77
2026-04-15T16:44:15.334,       0.00,       -0.92,        0.11,       0.93
2026-04-15T16:44:15.850,      -0.00,       -1.11,        0.12,       1.12
2026-04-15T16:44:16.370,       0.00,       -1.28,        0.15,       1.29
2026-04-15T16:44:16.885,      -0.00,       -1.43,        0.18,       1.44
2026-04-15T16:44:17.398,       0.01,       -1.61,        0.19,       1.62
2026-04-15T16:44:17.915,       0.00,       -1.71,        0.19,       1.72
2026-04-15T16:44:18.430,      -0.01,       -1.82,        0.20,       1.83
2026-04-15T16:44:18.949,       0.01,       -1.98,        0.22,       1.99
2026-04-15T16:44:19.516,       0.00,       -2.11,        0.26,       2.13
2026-04-15T16:44:20.079,      -0.01,       -2.24,        0.19,       2.25
2026-04-15T16:44:20.581,       0.00,       -2.37,        0.21,       2.38
2026-04-15T16:44:21.097,       0.01,       -2.45,        0.21,       2.46
2026-04-15T16:44:21.611,       0.01,       -2.53,        0.16,       2.53
2026-04-15T16:44:22.126,       0.03,       -2.50,        0.13,       2.50
2026-04-15T16:44:22.642,       0.06,       -2.47,        0.16,       2.48
2026-04-15T16:44:23.162,       0.03,       -2.49,        0.16,       2.49
2026-04-15T16:44:23.709,       0.00,       -2.50,        0.18,       2.51
2026-04-15T16:44:24.224,       0.02,       -2.52,        0.11,       2.52
2026-04-15T16:44:24.743,       0.02,       -2.50,        0.13,       2.51
2026-04-15T16:44:25.260,       0.01,       -2.53,        0.17,       2.53
2026-04-15T16:44:25.773,       0.01,       -2.53,        0.16,       2.53
2026-04-15T16:44:26.289,       0.00,       -2.50,        0.19,       2.51
2026-04-15T16:44:26.791,      -0.00,       -2.52,        0.17,       2.52
2026-04-15T16:44:27.308,       0.01,       -2.52,        0.14,       2.53
2026-04-15T16:44:27.820,      -0.01,       -2.51,        0.17,       2.51
2026-04-15T16:44:28.336,      -0.02,       -2.52,        0.17,       2.52
